timestamp,speaker,words,tags
,Olivia Adams,Hello is this Mr. Scofield?,
,Clay Scofield,"Yes, and you can just call me Clay.",
,OA,Okay Clay. This is Olivia.,
,CS,Good to hear.,
,OA,Very nice to hear from you too. How are you doing this morning?,
,CS,"Doing well. Smoky, but it's a little better than yesterday, so yeah.",
,OA,"It's pretty smoky here too and it gives me a headache. Yeah, fingers crossed that goes away. Well thank you for agreeing to doing the interview with me.",
,CS,Not a problem,
,OA,Your daughter is lovely by the way. I really enjoy her class.,
,CS,"Yeah, we think she's pretty amazing.",
,OA,"Well you're not wrong. Alright well before I start asking you a few questions, I just wanted to let you know that that this interview might end up in the University of Idaho archives for future research. Are you okay with this interview being shared with other people for research here?",
,CS,Okay,
,OA,"Awesome, and I'll create a transcript once we're done. Would you like to see that transcript?",
,CS,It really isn't necessary.,
,OA,"Okay well that sounds good, so I guess we'll get started if that's cool with you.",
,CS,Fine.,
,OA,"Alright normally I wouldn't ask this question, but may I ask how old you were in the year 1960?",childhood
,CS,"1960... Well, let's see. I was born in '49.",childhood
,OA,So you would have been 11?,childhood
,CS,Yes.,
,OA,"Okay, cool, just so I can gauge how old you were during the sixties.",
,CS,"Yeah, and I graduated in '67.",childhood
,OA,"One moment. So when you were alive during the sixties, did you listen to a lot of music? Do you remember what artists you listened to at the time?",music
,CS,"Well I remember very distinctly, and I think I was in junior high, when The Beatles came to America. So that was a significant time. Paul Revere and the Raiders, which of course, started in Idaho. Paul McCartney. Mamas and the Papas.",music
,OA,"Oh the Mamas and the Papas, ha-ha.",music
,CS,Yep.,
,OA,"My dad he was born in 1966 but he, so he was a bit young during the sixties, but he really loved The Beatles.",music
,CS,Yep.,
,OA,Do you think that the music at the time was more related to social change like civil rights? Or do you think that music was to do with partying?,music;socialmovements
,CS,"I think there was a mix, but I think a lot of it was about social change. And of course, I grew up during Vietnam, so there was a lot of resistance and frustration over that.",socialmovements;music;vietnam
,OA,I can imagine. What were your thoughts on the Vietnam War?,vietnam
,CS,"Well, in general, it felt like we kind of got sucked into that war. And I mean, when I graduated from high school, I received a draft notice. And I would have been sent over, but I had lung problems, and they didn't think I could manage being in the humid heat over there.",vietnam;draft
,OA,Wow.,
,CS,So I was not drafted.,draft
,OA,"That's really crazy to think about today. To think about the draft today, I can't imagine. Did you have friends that were drafted?",draft
,CS,Oh yeah. Quite a few. And some of them didn't make it back. Many of them did.,draft
,OA,I'm sorry for your friends that didn't make it back.,draft
,CS,"Yeah, yep.",
,OA,Did the war change how you felt about the United States as a global leader?,vietnam
,CS,"You know, it didn't. It made me question our leadership more than anything. As far as the country goes, to me it is more than just who's in the White House or who's making the decisions.",vietnam;values
,OA,"Absolutely I can agree with that. I study political science and international affairs, so it's pretty relevant to what I study today to hear about how you felt during that time. So thank you.",
,CS,"Yeah, yep.",
,OA,"So apart from the Vietnam War, do you remember other social movements at the time?",vietnam;socialmovements
,CS,"Well yeah. So, towards the end of the sixties, there was clearly a lot of change and movement. We had Martin Luther King and his assassination. I lived in the Santa Cruz area, and then I took the course on urban populations. And we spent a month in San Francisco. And that was rather interesting. Because I went to a very conservative college, Christian college, to get my bachelor's degree. And the professor that I had for the urban populations set us up to go listen and talk to the gay liberation alliance, which was centered in San Francisco. The pink panthers, we talked to the black Panthers.",change;education;sexuality;socialmovements
,OA,Wow.,
,CS,"And went to a church service at Glide Memorial Church in San Francisco, which was run by a gentleman who is gay, or was. So there was all of those things going on. And of course, Haight Ashbury in the sixties. There were lot of what was termed ""hippies"". And a lot of drug use. And again,just being in San Francisco during all of those change upheavals was pretty fascinating.",sexuality;socialmovements
,OA,"I can only imagine. I was I was born in the Bay Area, and I have visited San Francisco so many times. I've seen Haight-Ashbury, and I just can only imagine what it would have been like in the Summer of Love in the 1960s.",
,CS,"Yep, yep. Now, growing up in Boise, there really wasn't a lot of drugs in Boise at that time. I knew some guys who smoked pot and those kinds of things, but there just wasn't a large group that used drugs. A lot of alcohol use.",
,OA,"That sounds about right for Idaho, yeah.",
,CS,"Ha-ha, uh-huh.",
,OA,Ha-ha.,
,CS,"And I don't know if my daughter told you, but after I graduated, I got my master's degree in marriage family and child counseling. I thought I would move back to Idaho. And I became a drug and alcohol abuse counselor.",education
,OA,Wow that's very brave. I have a lot of respect for that. What made you decide to move back to Idaho?,
,CS,"Well, I had spent four years getting my bachelor's degree in Santa Cruz, and then a couple of years in between. And then about three years getting my master's. And I just think that there is certain parts of California I really loved, but just the sheer number of people... that wasn't a place where I wanted to raise family. Both Margie's family and my family was here in Idaho, so we just felt like it was a good decision to move back.",family
,OA,It was the same when I was a kid. My parents moved my family to Idaho because they felt it was a better place to raise my little brother and me. So I can see that being a similar reason. Did witnessing a lot of the drug use and the hippie movement in San Francisco... was that a piece of inspiration for you and your decision to become a substance abuse counselor?,socialmovements
,CS,"You know, part of it was working on my master's degree. I worked at a long-term treatment facility. And just dealing with the long-term effects of drug addiction and watching how it destroyed people's lives and families' lives. It just motivated me to move in that direction. Now when I was providing treatment, I worked extensively with families. Just recognizing that if the family wasn't on board, trying to make changes was extremely difficult.",family;change
,OA,"Yeah. Not to go off track of the interview, but my mom struggles with substance abuse, so I do have a lot of respect for what you do. So thank you.",
,CS,"Well, yes. So I was talking the other day with one of my former clients, and I just saw him in downtown Emmett about a week ago. And when I first saw him, he couldn't stay sober to make it in for an outpatient appointment. Even if it was at eighto'clock in the morning. And I mean, his liver was failing, and he decided he wanted to change because his grandkids said, ""we don't want to lose you"". And he went into inpatient treatment. I got him in and got him involved in AA. Now 30 years later, and he's still sober.",family;change
,OA,"Wow, wow.",
,CS,There's always hope.,
,OA,"Yeah, there's always hope. And it takes a lot to help people in that way. Because I feel like it has to be a mix of understanding but also insistence to help them get better.",
,CS,Yeah.,
,OA,"Did you see that people during the sixties, that used drugs and were part of the hippie movement... were they treated differently in any way?",
,CS,"Well again, I mean, I worked with people who used drugs on a regular basis. At least in the Bay Area, I didn't see any discrimination against them. It was just something they did, and as long as they did their work, everybody was cool.",discrimination
