timestamp,speaker,words,tags
,Maya Birdsong,"My name's Maya Birdsong and I'll be interviewing Wayne McProud in the Vandal Lounge in the Pitman Center on September 28th. So, my first question was how would you describe yourself in the 60s?",values
,Wayne McProud,Student.,values
,MB,Student.,values
,WM,"A high school student from 1960 to 63, a university student from 63 to 67, a graduate student from 67 to about 71.",values
,MB,Definitely a student for the whole decade then. How would you characterize your values at this time?,values
,WM,Teenage-ish.,values
,MB,Okay.,values
,WM,Just a teenager.,values
,MB,Makes sense. What music or artists were you listening to in the 60s and how do you think music affected social change?,music
,WM,"Henry Mancini ... was a big one. The 60s was The Beatles of course, The Stones, that kind of music.",music
,MB,"Perfect. What was the broader culture like in your community, were there any, were you aware of any big pushes for change in your town?",sociallife
,WM,"The 60s was the age of the anti-Vietnam War, it was the age of the civil rights movement. Moscow was pretty much insulated from it, at least the circles I ... I was an ag student so the circles I was in ... there was no political activism of any kind. The first time I hit any political activism was when I got to Montana State, they had quite a bit more political activism than they had here at Idaho.",sociallife;socialmovements
,MB,"Awesome. OK, were there any famous figures, political or otherwise, that stood out to you during this time?",culture
,WM,"You mean here, that came to Moscow or just ...?",culture
,MB,Just in general,culture
,WM,"Just in general. ...  Course there's Kennedy, he was the president and was assassinated, Johnson then became president and was basically run out of office because of Vietnam. Frank Church was the senator from Idaho who gained fame for the Church Committee. That's pretty much the political aspects of it. A couple of athletes maybe of interest, Gus Johnson who played basketball here at Idaho, later went on to become ... I think one of the recognized best basketball players of all time.",culture
,MB,"Oh wow, I didn't know that.",culture
,WM,"And then they had a football player, Ray McDonald, who, Gus Johnson and Ray McDonald were probably two of the best athletes that ever played at Idaho.",culture
,MB,"Awesome. What historical events do you remember hearing about the most at this time, did they impact your own life and if so, how?",news
,WM,"Course the assassination of Kennedy. In fact, I was, I guess this is an invitation to reminisce, I was taking a botany class up at the science building, taking a test. John McMullen was my professor, I knew John pretty well, my dad was a university prof up here so I knew a lot of the profs, and somebody came in the office and whispered in his ear, and you could see his face go white ... he didn't say anything. ",news
,WM,"I finished the test and handed it in and he called me aside and he said, 'Wayne the president's just been shot.' And then I was walking up past the art and architecture building, up near the admin building, and got word that ... Kennedy had died, so that would have been one famous memory I had. Course the other one, this is probably the most significant event of the 60s, was Neil Armstrong walking on the moon, and I would venture to guess that's going to be the most significant event of the 20th century.",news;culture
,MB,Do you remember where you were during the-that time?,news
,WM,"I was in Graduate School at Bozeman ... and it was the 20th of July 1969. I remember watching television, watch Neil Armstrong step out on the moon and we walked outside, and it was twilight, and you could see the moon and you'd look up there and think 'we got a man walking up there.'",news
,MB,I can't imagine ever going to the moon.,news
,WM,"So ... And of course, then going to the moon that reminds me of the honeymooners on television 'I'm going to send you to the moon', but anyway that was Jackie Gleeson, but anyway.",news;culture
,MB,"What were your thoughts on the Vietnam War, did it change how you felt about America as a global leader?",vietnam
,WM,I was in the military.,vietnam
